paper_id,title,year,venue,paper_link,project_link,code_link,task,main_contribution,main_limitation,evidence_type,relevance_to_selected_problem
3DGS_2023,3D Gaussian Splatting for Real-Time Radiance Field Rendering,2023,SIGGRAPH / TOG,https://arxiv.org/abs/2308.04079,https://repo-sam.inria.fr/fungraph/3d-gaussian-splatting/,https://github.com/graphdeco-inria/gaussian-splatting,real-time novel view synthesis,explicit anisotropic 3D Gaussians with visibility-aware rasterization and density control,not surface/material native; view-dependent effects may be absorbed into SH or geometry,From Literature,foundation representation that motivates separating rendering quality from mesh/material quality
2DGS_2024,2D Gaussian Splatting for Geometrically Accurate Radiance Fields,2024,SIGGRAPH 2024,https://arxiv.org/abs/2403.17888,https://surfsplatting.github.io/,https://github.com/hbb1/2d-gaussian-splatting,geometry-accurate radiance fields,collapses 3D blobs into oriented 2D Gaussian disks and adds depth distortion / normal consistency,does not by itself solve reflective material or specular transport decomposition,From Literature,surface primitive inherited by Ref-GS and suitable for mesh branch
SuGaR_2024,SuGaR: Surface-Aligned Gaussian Splatting for Efficient 3D Mesh Reconstruction and High-Quality Mesh Rendering,2024,CVPR 2024,https://arxiv.org/abs/2311.12775,https://anttwo.github.io/sugar/,https://github.com/Anttwo/SuGaR,mesh extraction from 3DGS,surface alignment regularization plus Poisson mesh extraction and mesh-bound refinement,not reflection/material specific; specular evidence can still bias alignment,From Literature,important mesh baseline and output protocol comparator
GOF_2024,Gaussian Opacity Fields: Efficient Adaptive Surface Reconstruction in Unbounded Scenes,2024,SIGGRAPH Asia 2024,https://arxiv.org/abs/2404.10772,unknown,https://github.com/autonomousvision/gaussian-opacity-fields,surface reconstruction,continuous opacity field and adaptive Marching Tetrahedra from 3DGS,not reflective/material specific,From Literature,mesh extraction comparator for checking whether reflective residual corrupts opacity/surface
GaussianSurfels_2024,High-quality Surface Reconstruction using Gaussian Surfels,2024,SIGGRAPH 2024,https://arxiv.org/abs/2404.17774,https://turandai.github.io/projects/gaussian_surfels/,Needs Verification,surface reconstruction,flattens 3D Gaussians into surfels and uses normal-depth consistency,not focused on reflection or PBR material mapping,From Literature,normal-depth consistency design reference
GaussianShader_2024,GaussianShader: 3D Gaussian Splatting with Shading Functions for Reflective Surfaces,2024,CVPR 2024,https://arxiv.org/abs/2311.17977,Needs Verification,https://github.com/Asparagus15/GaussianShader,reflective surface novel-view synthesis,normal estimation from shortest Gaussian axis and simplified shading function,mainly rendering-focused; not a mesh/texture export pipeline,From Literature,shows reflective appearance needs normal-aware shading but leaves asset-export gap
GSIR_2024,GS-IR: 3D Gaussian Splatting for Inverse Rendering,2024,CVPR 2024,https://arxiv.org/abs/2311.16473,Needs Verification,https://github.com/lzhnb/GS-IR,inverse rendering and relighting,adds material / environment illumination and depth-derived normal regularization with baked occlusion,occlusion and indirect light are approximated; mesh/UV export not central,From Literature,PBR decomposition baseline for material mapping comparison
R3DG_2024,Relightable 3D Gaussians: Realistic Point Cloud Relighting with BRDF Decomposition and Ray Tracing,2024,ECCV 2024,https://arxiv.org/abs/2311.16043,https://nju-3dv.github.io/projects/Relightable3DGaussian/,Needs Verification,relightable point/Gaussian rendering,per-Gaussian normals BRDF parameters incident lighting and point-based ray tracing visibility,point-based relighting rather than mesh/texture asset export; visibility precomputation cost,From Literature,material and visibility comparator
TextureGS_2024,Texture-GS: Disentangling the Geometry and Texture for 3D Gaussian Splatting Editing,2024,ECCV 2024,https://arxiv.org/abs/2403.10050,Needs Verification,Needs Verification,texture editing for 3DGS,UV mapping MLP and learnable 2D texture decouple appearance from geometry,texture can still bake view-dependent specular unless explicitly decomposed,From Literature,key texture mapping baseline and contrast for specular-free baking
RefGS_2025,Ref-GS: Directional Factorization for 2D Gaussian Splatting,2025,CVPR 2025,https://arxiv.org/abs/2412.00905,https://ref-gs.github.io/,https://github.com/YoujiaZhang/Ref-GS,reflective 2DGS NVS and geometry recovery,directional encoding on deferred-rendered surface plus spherical Mip-grid and geometry-light factorization,code lacks explicit surface/reflection branch separation for mesh/material export; UV/PBR export not implemented,From Literature,selected baseline
EnvGS_2025,EnvGS: Modeling View-Dependent Appearance with Environment Gaussian,2025,CVPR 2025,https://arxiv.org/abs/2412.15215,https://zju3dv.github.io/envgs/,Needs Verification,complex reflection NVS,explicit environment Gaussian primitives and RT-core ray tracing for high-frequency/near-field reflections,ray tracing cost and not focused on mesh/material export,From Literature,near-field reflection reference and alternative target
RefGaussian_2025,Reflective Gaussian Splatting,2025,ICLR 2025 Needs Verification,https://arxiv.org/abs/2412.19282,Needs Verification,Needs Verification,reflective GS with inter-reflection,physically based deferred rendering plus Gaussian-grounded inter-reflection and material-aware normal propagation,publication/code status needs verification; complex physical approximation depends on geometry/material quality,Needs Verification,important prior for reflection/PBR but not chosen due code uncertainty
IRGS_2025,IRGS: Inter-Reflective Gaussian Splatting with 2D Gaussian Ray Tracing,2025,CVPR 2025,https://arxiv.org/abs/2412.15867,Needs Verification,Needs Verification,inter-reflective inverse rendering,differentiable 2D Gaussian ray tracing and full rendering equation for indirect radiance,computationally heavier and code status needs verification,From Literature,physics-heavy alternative; useful for ablation discussion
SVGIR_2025,SVG-IR: Spatially-Varying Gaussian Splatting for Inverse Rendering,2025,CVPR 2025 Needs Verification,https://arxiv.org/abs/2504.06815,Needs Verification,Needs Verification,spatially varying inverse rendering,spatially varying Gaussian attributes and physically-based indirect lighting,venue/code status needs verification; representation complexity,Needs Verification,material-detail capacity reference
GeoSplatting_2025,GeoSplatting: Towards Geometry Guided Gaussian Splatting for Physically-based Inverse Rendering,2025,ICCV 2025 Needs Verification,https://arxiv.org/abs/2410.24204,Needs Verification,Needs Verification,geometry-guided PBR inverse rendering,bridges isosurface mesh and 3DGS for differentiable PBR with accurate normals,depends on mesh/isurface quality; code/venue status needs verification,Needs Verification,mesh-guided inverse rendering reference
GlossyGS_2025,GlossyGS: Inverse Rendering of Glossy Objects with 3D Gaussian Splatting,2025,TVCG Needs Verification,https://arxiv.org/abs/2410.13349,https://letianhuang.github.io/glossygs/,Needs Verification,glossy object inverse rendering,micro-facet geometry segmentation prior and normal map prefiltering for glossy geometry/material,prior may limit generalization; code/venue status needs verification,Needs Verification,direct glossy material ambiguity reference
RefDGS_2026,Ref-DGS: Reflective Dual Gaussian Splatting,2026,arXiv,https://arxiv.org/abs/2603.07664,Needs Verification,https://github.com/njfan/Ref-DGS,reflective dual GS,geometry Gaussians plus local reflection Gaussians plus global environment reflection field and adaptive shader,preprint; mesh/material export path needs verification,From Literature,strong alternative target but newer/preprint status makes Ref-GS safer anchor
RefNeRF_2022,Ref-NeRF: Structured View-Dependent Appearance for Neural Radiance Fields,2022,CVPR 2022,https://arxiv.org/abs/2112.03907,https://dorverbin.github.io/refnerf/,Needs Verification,glossy NeRF view synthesis,parameterizes view-dependent outgoing radiance by reflected direction and normal regularization,not GS; not mesh/PBR asset oriented,From Literature,reflection direction and normal quality theoretical basis
NeRFReN_2022,NeRFReN: Neural Radiance Fields with Reflections,2022,CVPR 2022,https://arxiv.org/abs/2111.15234,https://bennyguo.github.io/nerfren/,Needs Verification,NeRF with reflections,separate transmitted and reflected radiance fields to avoid reflected virtual image as geometry,decomposition underconstrained; not GS/mesh oriented,From Literature,branch-separation conceptual prior
NeRFactor_2021,NeRFactor: Neural Factorization of Shape and Reflectance Under an Unknown Illumination,2021,SIGGRAPH Asia / TOG,https://arxiv.org/abs/2106.01970,https://people.csail.mit.edu/xiuming/projects/nerfactor/,Needs Verification,inverse rendering,decomposes normals visibility albedo BRDF and lighting after NeRF distillation,slow NeRF pipeline; not GS or mesh-texture direct,From Literature,PBR decomposition and priors reference
NeRO_2023,NeRO: Neural Geometry and BRDF Reconstruction of Reflective Objects from Multiview Images,2023,SIGGRAPH / TOG,https://arxiv.org/abs/2305.17398,https://liuyuan-pal.github.io/NeRO/,https://github.com/liuyuan-pal/NeRO,reflective object geometry and BRDF reconstruction,two-step geometry then BRDF/light optimization using split-sum approximation and integrated directional encoding,not GS; heavier neural rendering pipeline,From Literature,staged reflective geometry/material optimization reference
